@relation SMILEfeatures

@attribute sexo {m,f}
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_amean numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[14]_quartile2 numeric
@attribute mfcc_sma[14]_quartile3 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_quartile2 numeric

@data
f,184.6858,170.6708,179.4323,179.9437,158.2395,191.2639,204.4772,192.4105,129.5881,218.4531,0.823928,0.823928,221.5284,185.073,59.09678,-1.847721,5.320972,-0.71032,-7.942568,0.777914,-9.457422,46.26298,-6.009613,17.15826,-2.740165,1897.072,2.211241,0.019552,-3.871235,-0.985195,4.883471,0.617998,-3.192417,-26.85371,2.806189
m,117.4451,116.7575,118.2844,115.612,97.26688,118.3889,121.6506,121.9919,77.17241,133.457,0.74066,0.74066,135.3368,116.5096,34.28353,9.788738,16.24489,9.209715,1.922844,0.690983,-4.052278,33.04937,10.7136,37.14663,-0.051823,965.8227,-11.53431,0.032121,2.920587,0.083363,3.904034,-16.29989,-20.78532,-9.63663,-12.32919
m,100.4444,96.73773,99.14581,98.03787,87.68483,100.9765,90.98489,102.7019,89.75886,107.3753,0.744868,0.744868,108.3835,84.99198,27.87906,4.276281,12.91422,4.234457,-3.465121,0.728038,-2.67807,22.24259,1.277503,27.68885,1.391453,492.2816,-4.959661,0.026029,2.371583,1.300805,5.726554,2.349385,-12.59376,-21.76115,-3.725959
m,139.1039,136.8078,145.2784,121.9173,114.5228,143.4464,138.2095,160.5381,84.70882,176.3956,0.776227,0.776227,177.6806,104.2736,46.36215,2.339858,6.561707,2.557862,-1.923995,0.711678,-3.276493,41.26016,0.419925,18.26375,1.518767,1666.829,-6.373735,0.013544,2.569946,1.330856,5.991081,-9.67212,-10.8731,-13.93274,-5.520889
m,108.5269,101.4223,106.2327,108.8544,101.3236,115.7892,97.33126,114.7123,101.2171,128.7547,0.685857,0.766349,129.1744,98.57902,31.12796,2.926678,10.57961,4.549606,-3.020217,0.743751,-11.69038,25.06499,3.07585,20.48514,-6.240134,625.7187,-2.622237,0.024716,-9.69101,-6.52063,-0.154354,-4.875868,-8.707316,-23.05435,-2.060319
f,172.4532,158.7731,183.0387,170.694,168.9807,207.1077,156.7803,209.0131,153.6586,245.32,0.644737,0.839021,247.3904,149.4852,54.93734,-12.33455,-5.264095,-12.12967,-19.75501,0.786756,-21.81735,51.01769,-16.07515,8.11438,-14.53866,2474.961,-1.152764,0.013387,-17.14123,-12.7057,-6.745515,13.67054,-12.21638,-35.33604,-3.029103
m,139.5209,134.1134,138.9234,136.2085,129.0382,149.1856,144.4796,152.2625,125.3721,157.5292,0.805257,0.805257,159.1186,138.1056,40.77213,4.423084,13.90648,3.840925,-4.65677,0.781683,-5.707784,28.86896,8.062211,31.40129,-1.249205,805.73,-9.370593,0.030665,1.243668,-1.864151,2.73498,-16.01707,-17.80557,-27.05977,-7.849052
f,231.9283,217.1669,233.2427,212.6692,199.1103,235.4289,248.8919,250.2097,180.8172,269.4504,0.840588,0.840588,273.0949,222.6682,68.37436,-7.482424,1.780752,-8.048446,-15.29525,0.762481,-16.75188,53.49063,-12.47609,18.7269,-10.6916,2674.407,-2.095075,0.017608,-12.32416,-10.66285,-3.698334,-4.169958,-7.49308,-34.03516,-1.948087
m,130.571,115.5418,125.3787,122.9856,113.912,136.4502,132.4043,138.4768,103.0576,154.267,0.792278,0.792278,154.6832,136.0347,38.83731,11.40064,20.10079,11.16957,2.456987,0.755691,-9.069925,31.27492,18.94103,37.59592,-3.074325,813.414,-12.91048,0.017086,-5.243332,-2.98815,2.887685,-13.10674,-19.57306,-18.14563,-10.21753
m,136.6778,125.1307,134.047,131.1751,120.8177,146.5258,115.5231,149.6279,101.2295,179.0486,0.760666,0.760666,179.8722,116.7853,42.28407,-0.123052,8.070124,-0.202107,-8.909018,0.724508,2.455749,37.09905,3.89396,24.88819,5.825032,1370.86,-4.65473,0.023799,6.34223,5.479342,9.584242,-6.965996,-11.68469,-24.81533,-4.522346
